Text,Label
"I love this product!",Positive
"It was a waste of money",Negative
"It’s okay, not great",Neutral
"Absolutely fantastic experience!",Positive
"Terrible quality, broke after a day",Negative
"Nothing special, just average",Neutral
"I'm extremely satisfied with my purchase",Positive
"Would not recommend to anyone",Negative
"It's decent, but I've seen better",Neutral
"This exceeded my expectations!",Positive
"Totally disappointed with the service",Negative
"Kind of works, but not very reliable",Neutral
"Great value for the price",Positive
"Regret buying this",Negative
"It's fine, does the job",Neutral
"Highly recommend to others!",Positive
"Complete waste of time and money",Negative
"Not bad, not amazing either",Neutral
"I'm very happy with it",Positive
"Poor customer support ruined it",Negative
